"","biweek","date","den.cases.str1","den.cases.str2","den.cases.str3","den.cases.str4","births"
"1",1,1986-01-01,0,0,0,0,2482
"2",2,1986-01-15,0,0,0,0,2481
"3",3,1986-01-29,0,0,0,0,2480
"4",4,1986-02-12,0,0,0,0,2479
"5",5,1986-02-26,0,0,0,0,2478
"6",6,1986-03-12,0,0,0,0,2477
"7",7,1986-03-26,0,0,0,0,2476
"8",8,1986-04-09,0,0,0,0,2475
"9",9,1986-04-23,0,0,0,0,2474
"10",10,1986-05-07,0,0,0,0,2473
"11",11,1986-05-21,0,0,0,0,2472
"12",12,1986-06-04,0,0,0,0,2471
"13",13,1986-06-18,0,0,0,0,2470
"14",14,1986-07-02,28,0,0,41,2469
"15",15,1986-07-16,51,0,0,25,2468
"16",16,1986-07-30,82,0,0,41,2467
"17",17,1986-08-13,0,58,0,115,2466
"18",18,1986-08-27,101,0,0,151,2465
"19",19,1986-09-10,394,131,0,525,2464
"20",20,1986-09-24,648,81,0,567,2463
"21",21,1986-10-08,227,317,0,635,2462
"22",22,1986-10-22,1418,0,0,0,2461
"23",23,1986-11-05,0,0,0,0,2460
"24",24,1986-11-19,0,683,0,683,2459
"25",25,1986-12-03,0,473,0,473,2458
"26",26,1986-12-17,0,0,0,0,2457
"27",1,1987-01-01,67,169,0,135,2456
"28",2,1987-01-15,78,104,0,156,2455
"29",3,1987-01-29,66,66,0,131,2454
"30",4,1987-02-12,37,75,0,94,2453
"31",5,1987-02-26,0,16,0,171,2452
"32",6,1987-03-12,0,40,0,119,2451
"33",7,1987-03-26,17,52,0,69,2450
"34",8,1987-04-09,0,38,0,75,2449
"35",9,1987-04-23,0,95,0,0,2448
"36",10,1987-05-07,0,52,0,52,2447
"37",11,1987-05-21,0,29,0,86,2446
"38",12,1987-06-04,0,65,0,65,2445
"39",13,1987-06-18,12,37,0,73,2444
"40",14,1987-07-02,61,86,0,61,2443
"41",15,1987-07-16,64,112,0,96,2442
"42",16,1987-07-30,57,137,0,137,2441
"43",17,1987-08-13,57,157,0,72,2440
"44",18,1987-08-27,44,104,0,59,2439
"45",19,1987-09-10,53,134,0,0,2438
"46",20,1987-09-24,40,80,0,40,2437
"47",21,1987-10-08,27,109,0,0,2436
"48",22,1987-10-22,22,43,0,64,2435
"49",23,1987-11-05,0,82,0,28,2434
"50",24,1987-11-19,0,52,0,52,2432
"51",25,1987-12-03,0,93,0,46,2431
"52",26,1987-12-17,39,0,0,78,2430
"53",1,1988-01-01,23,69,0,46,2429
"54",2,1988-01-15,49,98,0,49,2428
"55",3,1988-01-29,0,142,0,48,2427
"56",4,1988-02-12,0,181,0,90,2426
"57",5,1988-02-26,0,69,0,208,2425
"58",6,1988-03-11,0,209,0,52,2424
"59",7,1988-03-25,96,48,0,96,2423
"60",8,1988-04-08,0,0,0,349,2422
"61",9,1988-04-22,0,202,0,202,2421
"62",10,1988-05-06,0,0,0,0,2420
"63",11,1988-05-20,45,90,0,45,2419
"64",12,1988-06-03,0,49,0,81,2418
"65",13,1988-06-17,0,106,0,0,2417
"66",14,1988-07-01,0,40,0,59,2416
"67",15,1988-07-15,14,14,0,85,2415
"68",16,1988-07-29,18,53,0,62,2414
"69",17,1988-08-12,0,69,0,118,2413
"70",18,1988-08-26,0,66,0,143,2412
"71",19,1988-09-09,8,112,0,177,2411
"72",20,1988-09-23,37,148,0,124,2410
"73",21,1988-10-07,8,235,0,102,2409
"74",22,1988-10-21,10,239,0,134,2408
"75",23,1988-11-04,28,287,0,74,2407
"76",24,1988-11-18,8,354,0,89,2406
"77",25,1988-12-02,44,222,0,100,2405
"78",26,1988-12-16,0,267,0,44,2404
"79",1,1989-01-01,0,91,0,122,2403
"80",2,1989-01-15,28,224,0,0,2402
"81",3,1989-01-29,0,225,0,37,2401
"82",4,1989-02-12,0,225,0,23,2400
"83",5,1989-02-26,0,242,0,0,2399
"84",6,1989-03-12,43,170,0,0,2398
"85",7,1989-03-26,0,0,0,199,2397
"86",8,1989-04-09,0,131,0,66,2396
"87",9,1989-04-23,0,119,0,30,2395
"88",10,1989-05-07,0,147,0,0,2394
"89",11,1989-05-21,0,54,0,54,2393
"90",12,1989-06-04,0,124,0,0,2392
"91",13,1989-06-18,0,63,0,16,2391
"92",14,1989-07-02,0,59,0,39,2390
"93",15,1989-07-16,0,94,0,0,2389
"94",16,1989-07-30,0,132,0,40,2388
"95",17,1989-08-13,0,292,0,0,2387
"96",18,1989-08-27,0,471,0,0,2386
"97",19,1989-09-10,23,414,0,23,2385
"98",20,1989-09-24,19,530,0,38,2384
"99",21,1989-10-08,0,440,0,153,2383
"100",22,1989-10-22,28,440,0,82,2382
"101",23,1989-11-05,22,413,0,43,2381
"102",24,1989-11-19,17,358,0,85,2380
"103",25,1989-12-03,0,435,0,131,2379
"104",26,1989-12-17,22,306,0,44,2378
"105",1,1990-01-01,47,211,0,70,2377
"106",2,1990-01-15,0,245,0,76,2376
"107",3,1990-01-29,20,281,0,40,2375
"108",4,1990-02-12,32,228,0,0,2374
"109",5,1990-02-26,0,252,0,50,2373
"110",6,1990-03-12,33,234,0,0,2372
"111",7,1990-03-26,0,0,0,196,2371
"112",8,1990-04-09,0,140,0,0,2370
"113",9,1990-04-23,0,0,0,0,2369
"114",10,1990-05-07,0,0,0,0,2368
"115",11,1990-05-21,0,0,0,0,2367
"116",12,1990-06-04,57,57,0,0,2366
"117",13,1990-06-18,62,31,0,0,2365
"118",14,1990-07-02,0,0,0,95,2364
"119",15,1990-07-16,0,75,0,0,2363
"120",16,1990-07-30,38,76,0,38,2362
"121",17,1990-08-13,0,166,0,99,2361
"122",18,1990-08-27,16,202,0,62,2360
"123",19,1990-09-10,0,326,0,0,2359
"124",20,1990-09-24,0,269,0,122,2358
"125",21,1990-10-08,0,375,0,113,2357
"126",22,1990-10-22,48,619,0,190,2356
"127",23,1990-11-05,0,598,0,373,2355
"128",24,1990-11-19,43,432,0,216,2354
"129",25,1990-12-03,75,224,0,224,2353
"130",26,1990-12-17,0,250,0,71,2352
"131",1,1991-01-01,0,110,0,132,2351
"132",2,1991-01-15,0,143,0,71,2350
"133",3,1991-01-29,0,142,0,57,2349
"134",4,1991-02-12,46,93,0,23,2348
"135",5,1991-02-26,40,40,0,80,2347
"136",6,1991-03-12,0,0,0,129,2346
"137",7,1991-03-26,16,80,0,32,2345
"138",8,1991-04-09,66,0,0,66,2344
"139",9,1991-04-23,0,140,0,0,2343
"140",10,1991-05-07,48,95,0,0,2342
"141",11,1991-05-21,0,92,0,18,2341
"142",12,1991-06-04,30,45,0,76,2340
"143",13,1991-06-18,49,37,0,37,2339
"144",14,1991-07-02,0,51,0,64,2338
"145",15,1991-07-16,0,0,0,0,2337
"146",16,1991-07-30,114,71,0,43,2336
"147",17,1991-08-13,135,211,0,45,2335
"148",18,1991-08-27,233,78,0,97,2334
"149",19,1991-09-10,102,273,0,136,2333
"150",20,1991-09-24,207,346,0,92,2332
"151",21,1991-10-08,308,369,0,154,2331
"152",22,1991-10-22,428,156,0,214,2330
"153",23,1991-11-05,356,244,0,263,2329
"154",24,1991-11-19,393,213,0,246,2328
"155",25,1991-12-03,227,368,0,255,2327
"156",26,1991-12-17,79,157,0,275,2326
"157",1,1992-01-01,83,124,0,290,2325
"158",2,1992-01-15,282,226,0,56,2324
"159",3,1992-01-29,0,0,0,422,2323
"160",4,1992-02-12,161,161,0,107,2322
"161",5,1992-02-26,208,92,0,46,2321
"162",6,1992-03-11,153,31,0,92,2320
"163",7,1992-03-25,129,64,0,32,2319
"164",8,1992-04-08,87,87,0,0,2318
"165",9,1992-04-22,124,0,0,82,2317
"166",10,1992-05-06,82,65,0,16,2316
"167",11,1992-05-20,166,0,0,28,2315
"168",12,1992-06-03,111,0,0,111,2314
"169",13,1992-06-17,103,0,0,172,2313
"170",14,1992-07-01,129,86,0,86,2312
"171",15,1992-07-15,179,36,0,72,2310
"172",16,1992-07-29,195,57,0,103,2309
"173",17,1992-08-12,306,48,0,115,2308
"174",18,1992-08-26,403,91,0,60,2307
"175",19,1992-09-09,424,41,0,110,2306
"176",20,1992-09-23,442,133,0,44,2305
"177",21,1992-10-07,479,85,0,85,2304
"178",22,1992-10-21,542,49,0,49,2303
"179",23,1992-11-04,389,92,0,206,2302
"180",24,1992-11-18,488,70,0,70,2301
"181",25,1992-12-02,541,0,0,155,2300
"182",26,1992-12-16,342,73,0,98,2299
"183",1,1993-01-01,385,0,0,39,2298
"184",2,1993-01-15,108,326,0,0,2297
"185",3,1993-01-29,308,154,0,0,2296
"186",4,1993-02-12,254,0,0,85,2295
"187",5,1993-02-26,157,39,0,39,2294
"188",6,1993-03-12,146,59,0,0,2293
"189",7,1993-03-26,161,0,0,0,2292
"190",8,1993-04-09,79,40,0,40,2291
"191",9,1993-04-23,59,59,0,29,2290
"192",10,1993-05-07,42,127,0,0,2289
"193",11,1993-05-21,57,57,0,57,2288
"194",12,1993-06-04,177,0,0,0,2287
"195",13,1993-06-18,101,57,0,0,2286
"196",14,1993-07-02,110,44,0,44,2285
"197",15,1993-07-16,79,79,0,32,2284
"198",16,1993-07-30,53,80,0,53,2283
"199",17,1993-08-13,43,86,0,71,2282
"200",18,1993-08-27,47,78,0,47,2281
"201",19,1993-09-10,107,46,0,46,2280
"202",20,1993-09-24,118,30,0,39,2279
"203",21,1993-10-08,119,85,0,17,2278
"204",22,1993-10-22,109,131,0,65,2277
"205",23,1993-11-05,114,81,0,70,2276
"206",24,1993-11-19,127,84,0,35,2275
"207",25,1993-12-03,84,94,0,56,2274
"208",26,1993-12-17,104,85,0,47,2273
"209",1,1994-01-01,75,135,0,0,2272
"210",2,1994-01-15,94,115,0,52,2271
"211",3,1994-01-29,68,165,0,39,2270
"212",4,1994-02-12,71,102,0,20,2269
"213",5,1994-02-26,90,81,0,27,2268
"214",6,1994-03-12,75,58,0,33,2267
"215",7,1994-03-26,0,116,0,33,2266
