"lambda","lam.ci.l","lam.ci.u","loglik","rho1","rho2","rho3","rho4"
2,0,11,-12.0917205849297,151.668264153127,150.390951427705,151.766981830955,153.891315392368
1,0,8,39.9050512523811,152.205031536582,151.865490762956,153.825807501033,155.403666667818
1,0,9,-200.21081517767,152.112939189478,152.809573838144,154.529525866508,151.182921138204
1,0,7,-71.9150086127565,152.434783984164,151.850733216939,153.627676565349,155.387075814829
0,0,6,-272.936463988494,147.503574173584,151.761805564459,154.273280207071,153.674567959482
1,0,7,-232.642194424236,153.450063952123,150.165237928702,155.727222431418,152.94778594997
1,0,10,43.8176297247693,152.386350393083,151.575192870008,153.109258588705,155.643487378064
2,0,15,132.0193058004,152.983688621337,153.345020825573,154.873642858611,154.313466737758
0,0,10,132.717413132325,151.839435817108,156.458949079265,153.524157506805,157.073250058818
0,0,9,261.131295979526,153.247986981406,150.488181187599,153.266330001706,150.853415597976
0,0,12,105.818822821105,152.324773043893,153.041045573349,154.363219662312,154.29502311531
1,0,10,164.475175457572,154.013000148332,153.450970861795,154.848863518385,153.719302229667
1,0,7,196.084417391952,153.832396156914,153.260136021641,152.589171195352,155.040387556748
0,0,7,145.477873850359,151.964484646656,154.192780159327,155.557392752264,155.478305728491
2,0,13,122.654416831118,151.654082374956,152.163710348699,155.865145547908,152.942522241058
2,0,10,120.143265650835,151.465358721855,152.299391069977,154.405819982818,153.507694700631
2,0,10,255.403204498688,152.066279894046,150.987728898254,152.691964254235,152.704959125509
2,0,10,38.8107845436814,153.410726432022,151.069252725903,154.474635177145,153.43037647497
0,0,8,42.6625116504337,152.163082432736,153.514428074348,153.876339504103,155.507871470148
0,0,9,-24.3619777790694,153.917922749287,152.961532416085,153.690562906291,152.552122060971
2,0,9,146.346094595907,153.38384443899,152.19910054023,152.636456661709,151.467160044063
0,0,6,-178.479728015715,151.337651769151,152.186608855728,157.171000356725,155.997717175499
0,0,8,-433.104896045061,149.797648967964,151.035431594068,153.688082750132,153.527182549146
0,0,10,5.64322736083925,151.903681542017,151.716781792191,153.311905584713,152.67527890778
1,0,11,58.0900493855153,152.263973168913,153.934928339075,152.881012614781,154.187062483441
0,0,7,-266.476123025243,148.778032225225,149.905721619658,154.528138854473,155.90567917898
0,0,6,107.439814807123,152.277489824931,154.643850374039,155.444943338897,154.573928610138
1,0,8,-403.546440121279,148.940495599855,151.050828716743,153.881889379648,152.96278715313
1,0,9,-230.677900971424,156.104135316905,152.775941564233,157.578519369356,154.398757976197
2,0,10,56.3276819350065,152.822468280856,152.782734601272,154.439171658141,155.005169008892
2,0,10,-97.0334904714736,153.36958042713,152.434860828114,154.79386270229,153.313060204738
1,0,9,72.6554915160573,152.641821832537,154.204542286953,155.620133923384,155.040468608992
2,0,12,-14.2190305044873,151.040269957728,154.830553180014,155.451120439646,154.068967956342
1,0,9,-218.665228888969,152.99720011096,152.141601394021,153.780192286736,155.179833172443
0,0,10,33.7840227005846,153.962091780164,153.789576694756,154.692907864775,154.495960754798
1,0,8,-197.891874799271,151.758419412866,155.602263288441,155.476922188747,155.600684692813
0,0,10,187.790490326733,150.079667710805,153.699282557793,152.365038196575,154.678306455236
1,0,8,-12.7716610237965,154.512645512711,150.556768437534,155.574446507161,154.368436436912
2,0,9,28.5783997941807,152.189413266655,154.672080231117,154.231590279614,152.296762492204
0,0,10,-269.008677556005,149.366144552371,154.038227019718,154.890314678654,154.3517486561
1,0,9,-278.598330999478,151.042378949574,153.611285229147,153.2609614447,153.327725823665
0,0,8,-597.168572309339,148.334974080847,150.796980931771,154.489576447571,152.218859006069
2,0,8,-184.149170504192,152.20344552876,151.035957673942,152.892169472116,153.117762971836
0,0,7,-2.17347019951927,153.845401661352,151.119471252111,154.682501248847,155.732784569983
0,0,6,-576.436868181566,147.84839279784,152.193721688968,156.914250319661,155.016421332514
1,0,10,-429.090510824763,148.930723120964,152.5529430756,154.174446908041,152.312601422905
0,0,12,136.519094663509,151.173502437607,153.355472365031,156.444810994006,151.393139896354
1,0,9,-522.620417170593,149.102942883412,151.383905965146,153.890337054284,154.418909544278
2,0,11,-86.0009054506842,153.030408342143,152.846067293383,153.263225517338,153.748920085009
1,0,8,-370.933279411081,153.39347574428,152.028272618904,155.038728102558,153.261732768556
0,0,9,-119.721929405177,151.635190052517,152.984989833127,153.404139709431,155.605390497696
