"model","lambda","lam.ci.l","lam.ci.u","loglik","rho1","rho2","rho3","rho4"
"N",0,NA,NA,420.995495199785,151.587059705743,155.294005242307,154.015356111323,153.691035049391
"N",0,NA,NA,314.849739432642,154.34411984998,152.804388081837,155.414778026888,153.998032851917
"N",0,NA,NA,186.901369963739,152.002817426695,149.425319294582,153.529713815637,153.408575720486
"N",0,NA,NA,84.5560013128541,152.600769776214,153.018419078108,153.778700567679,154.970179079693
"N",0,NA,NA,109.310414631401,152.909820055805,152.238265630754,154.327373253677,154.697580857805
"N",0,NA,NA,1.46749378927684,149.753827940474,154.134866038697,156.36644679545,154.348154220256
"N",0,NA,NA,175.631992046901,151.897277042734,153.098827358993,154.247062697511,155.038895418167
"N",0,NA,NA,143.453624884468,152.245811902443,153.265872413914,155.735128780135,153.88214465596
"N",0,NA,NA,287.705458094392,153.527740533789,153.821381675966,154.591410089299,154.975147362953
"N",0,NA,NA,-88.4812621588804,152.298817553415,153.005891346971,153.787599641111,153.578601057437
"N",0,NA,NA,331.355859060587,154.874506600769,151.596632375049,156.348829979886,155.4058550076
"N",0,NA,NA,369.774706828232,152.626271013241,153.729943859197,153.850725338344,153.234094233123
"N",0,NA,NA,60.6316716653957,154.590124638262,153.507631395751,155.137094544422,155.526025605165
"N",0,NA,NA,-136.9172914544,150.977866580268,153.758717144257,154.230999452751,155.994448043453
"N",0,NA,NA,343.098582517318,151.507130616277,152.731311588074,153.35794461157,153.833324161636
"N",0,NA,NA,-257.227552678361,152.072246197291,155.129484709655,155.82677298269,155.268894898779
"N",0,NA,NA,114.44095541588,151.806462115295,152.868409038525,155.199635145596,153.623791030981
"N",0,NA,NA,-572.3951527386,147.267609357191,152.066527844178,153.8113128267,154.5411878217
"N",0,NA,NA,345.1209338484,153.745236404699,154.726612704953,154.01882358626,155.007744996415
"N",0,NA,NA,142.726249120709,153.104639616938,151.113613076117,150.848143837449,155.551069206622
"N",0,NA,NA,123.425293930015,153.069833044593,153.309576180142,155.099675044305,155.141425871574
"N",0,NA,NA,28.5813793947337,151.510428561183,154.196471842276,155.383416000688,155.750885773754
"N",0,NA,NA,124.727330675492,153.381026777182,153.639774400866,155.449844970142,155.360451756622
"N",0,NA,NA,430.199056838157,152.910163243463,152.185040359976,155.388205135202,154.49773153226
"N",0,NA,NA,-168.222289944267,152.879154961445,150.052633530899,152.670109256162,150.911242250612
"N",0,NA,NA,28.8113199988037,152.230333372496,153.061551826776,155.677546156617,153.148411714445
"N",0,NA,NA,398.902986334034,152.675502480365,154.064574184289,153.682423375998,153.364309605605
"N",0,NA,NA,242.861114328773,150.635471803979,154.378523251249,154.619296186855,153.148730796308
"N",0,NA,NA,232.274022007852,153.844348052128,152.397699672407,154.246518039825,155.003507223629
"N",0,NA,NA,144.079727728705,153.490884930073,151.83381131386,154.625446482227,154.590180903491
"N",0,NA,NA,155.164346667242,153.442730106913,153.227143028618,155.600630746175,154.037418051475
"N",0,NA,NA,196.693183905346,150.442333754351,155.152250283074,153.37392440335,156.065956199293
"N",0,NA,NA,41.2571508970725,151.944987539145,152.904724039326,153.688620662331,153.904242682995
"N",0,NA,NA,19.3910568972261,151.604762857573,152.954615901243,153.555761002193,154.550963448843
"N",0,NA,NA,198.502436253614,152.589728246062,152.37903966029,154.527176170194,152.756906105913
"N",0,NA,NA,152.602610455619,154.65478647992,154.830992630207,155.130829341845,155.508938847931
"N",0,NA,NA,172.992622598842,152.85693465688,153.988148674497,155.676413857702,153.645235100017
"N",0,NA,NA,145.778096831573,153.132044410385,154.278936952874,154.370881576667,156.243294451189
"N",0,NA,NA,51.6017592969924,151.500925136299,153.002220122702,154.3754067594,155.168997053893
"N",0,NA,NA,127.067891251011,152.529091405134,153.275257418876,154.494653853408,153.970045286411
"N",0,NA,NA,-69.4873848363389,153.761401973373,150.02872359448,153.938964740211,154.299421354724
"N",0,NA,NA,-207.778311624492,153.04403195066,152.324863053142,154.129614789401,152.931901965674
"N",0,NA,NA,-52.9762240188767,152.833505898712,152.105979197263,152.918612756606,151.559238987311
"Eb",24,18,31,527.402208328811,153.570398310243,152.554647641929,154.195455676253,153.837929700407
"N",0,NA,NA,-41.8650702428011,153.069091407053,151.145820860211,151.105703470488,154.15966827017
"N",0,NA,NA,188.357712356324,149.426561257338,152.047084350265,153.426512209359,154.137153498644
"Eb",22,17,28,22.1963250147388,151.241544330135,151.66682874894,153.420218649143,151.705891323974
"N",0,NA,NA,-207.216694323891,151.509830502633,152.632913566247,155.046595462977,153.405852469519
"N",0,NA,NA,29.4142124178367,151.67702657907,153.226899061895,154.331931183754,154.65748246399
"N",0,NA,NA,-258.627970938797,146.569634886781,151.009115753055,153.599104296798,153.443473357059
"N",0,NA,NA,101.344152325636,152.237125813994,152.768357167772,153.861965237654,152.379092420192
"N",0,NA,NA,231.799644854953,152.109474978482,154.378873166211,155.95481007955,153.458817556911
"N",0,NA,NA,-72.2004437451434,153.748667117659,152.650383084098,153.623526754324,154.769398102384
"N",0,NA,NA,152.396250450287,153.401445117268,152.097415280268,154.210375737763,153.564077225258
